,id,ticker,asset,symbol,quantity,date,side,trade_price,strike,bidPrice,askPrice,delta,theta,gamma,vega,description,trader,channel,time
1940,96d86e3c5a6c11ebb64e69f24171e6df,MSFT,OPTION,MSFT_012221P210,-100,01/22/21,P,0.87,210.0,0.87,0.89,-0.2665,-0.2418,0.0611,0.0703,MSFT Jan 22 2021 210 Put,Rich,general-chat-room🗣,2021-01-19 15:40:00.056143
1941,59ba282c5a6e11ebb64e69f24171e6df,SPCE,OPTION,SPCE_012921C34,-200,1/29,CALLS,0.92,34.0,0.9,0.92,0.3036,-0.0828,0.0683,0.0184,SPCE Jan 29 2021 34 Call,Dick Branson,request-bot🤖,2021-01-19 15:52:38.166542
1942,319faa565a7311ebb64e69f24171e6df,MP,OPTION,MP_021921C40,100,2/19,CALLS,1.95,40.0,1.85,1.95,0.3257,-0.0518,0.0347,0.0357,MP Feb 19 2021 40 Call,Rich,request-bot🤖,2021-01-19 16:27:18.343177
1943,d63dc5ca5a7d11ebb64e69f24171e6df,IQ,OPTION,IQ_012921C22,-100,01/29/21,C,0.19,22.0,0.19,0.2,0.1651,-0.0274,0.1057,0.0082,IQ Jan 29 2021 22 Call,Rich,request-bot🤖,2021-01-19 17:43:29.279032
1944,241207185a8111ebb64e69f24171e6df,AMC,OPTION,AMC_021921C3,100,02/19,CALLS,0.74,3.0,0.71,0.74,0.6228,-0.0118,0.2087,0.0033,AMC Feb 19 2021 3 Call,cMoney💰,request-bot🤖,2021-01-19 18:07:07.133171
1945,9d23740c5a8111ebb64e69f24171e6df,WDC,OPTION,WDC_012921C52,100,1/29,CALLS,2.37,52.0,2.27,2.37,0.5004,-0.114,0.0638,0.0352,WDC Jan 29 2021 52 Call,SammySnipes,sammysnipes-trades🥷🏼,2021-01-19 18:10:30.436498
1946,366f40b65a9411ebb64e69f24171e6df,MP,OPTION,MP_021921C40,-100,02/19/21,C,2.2,40.0,2.2,2.3,0.3604,-0.0557,0.0354,0.0382,MP Feb 19 2021 40 Call,Rich,general-chat-room🗣,2021-01-19 20:23:39.690889
1947,87e047555abb11eba3b33800255995ba,SPCE,OPTION,SPCE_012221C35,100,1/22,CALLS,0.39,35.0,0.34,0.39,0.1969,-0.1322,0.079,0.0088,SPCE Jan 22 2021 35 Call,Charlie678,test,2021-01-19 20:05:05.237491
1948,8d239b5d5abb11ebacf63800255995ba,SPCE,OPTION,SPCE_012221C35,100,1/22,CALLS,0.39,35.0,0.34,0.39,0.1969,-0.1322,0.079,0.0088,SPCE Jan 22 2021 35 Call,Charlie678,test,2021-01-19 20:05:14.119635
1949,93dbd6c75abb11eb8ade3800255995ba,SPCE,OPTION,SPCE_012221C35,-100,1/22,CALLS,0.34,35.0,0.34,0.39,0.1969,-0.1322,0.079,0.0088,SPCE Jan 22 2021 35 Call,Charlie678,test,2021-01-19 20:05:25.303047
1950,9e0826285abb11eba6f73800255995ba,SPCE,OPTION,SPCE_012221C35,-100,1/22,CALLS,0.34,35.0,0.34,0.39,0.1969,-0.1322,0.079,0.0088,SPCE Jan 22 2021 35 Call,Charlie678,test,2021-01-19 20:05:42.377630
1951,c1e05d065ac111ebb64e69f24171e6df,X,OPTION,X_021921C23,100,2/19,CALLS,1.32,23.0,1.25,1.32,0.4138,-0.0301,0.08,0.0245,X Feb 19 2021 23 Call,therealyoungari🌺,request-bot🤖,2021-01-20 01:49:41.060210
1952,ee168a945ac111ebb64e69f24171e6df,XOM,OPTION,XOM_012122C75,100,1/21/22,CALLS,0.97,75.0,0.93,0.97,0.1262,-0.0043,0.0119,0.1005,XOM Jan 21 2022 75 Call,therealyoungari🌺,request-bot🤖,2021-01-20 01:50:53.824151
1953,e836e5585add11ebb64e69f24171e6df,IQ,OPTION,IQ_012921C22,-100,01/29/21,C,0.15,22.0,0.15,0.18,0.1526,-0.0241,0.108,0.0079,IQ Jan 29 2021 22 Call,SilverSurfie,request-bot🤖,2021-01-20 05:11:09.734766
