,id,ticker,date,side,strike,bidPrice,askPrice,delta,theta,gamma,volatility,description,assetType,symbol,short_trade,executed,trader,channel,time,closing
0,b84034cb380b11ebaeb33800255995ba,TSLA,12/11,CALLS,600,22.35,22.4,0.5125,-1.4877,0.006999999999999999,65.896,TSLA Dec 11 2020 600 Call (Weekly),OPTION,TSLA_121120C600,False,False,Charlie678,test,2020-12-06 16:40:55.426334,False
1,1bc2719f380c11eb96c53800255995ba,TSLA,12/11,CALLS,600,22.35,22.4,0.5125,-1.4877,0.007,65.896,TSLA Dec 11 2020 600 Call (Weekly),OPTION,TSLA_121120C600,False,False,Charlie678,test,2020-12-06 16:43:42.359301,False
2,1bc2719f380c11eb96c53800255995ba,TSLA,12/11,CALLS,620,14.4,14.55,0.3793,-1.4349,0.0066,66.616,TSLA Dec 11 2020 620 Call (Weekly),OPTION,TSLA_121120C620,True,False,Charlie678,test,2020-12-06 16:43:42.360301,False
