Unnamed: 0,SYMBOL,DIRECTION,THRESHOLD,PT,AUTHOR,UPLOADED,ALERTED,CHANNEL
0,nkla,above,20.2,21.32,ED,True,0,737773053148266666
1,nkla,below,19.62,19.11,ED,True,4,737773053148266666
2,pton,above,116.52,117.13,ED,True,0,737773053148266666
3,pton,below,115.31,114.12,ED,True,4,737773053148266666
4,spce,above,28.69,33.0,ED,True,2,737773053148266666
5,chwy,above,78.19,79.0,ED,True,2,737773053148266666
6,roku,below,291.51,288.31,ED,True,4,737773053148266666
