Unnamed: 0,SYMBOL,DIRECTION,THRESHOLD,PT,AUTHOR,UPLOADED,ALERTED,CHANNEL
0,ba,above,189.8,194.0,SammySnipes,True,4,713082942527897650
1,amzn,above,3147.0,3184.0,SammySnipes,True,1,713082942527897650
2,twtr,above,44.17,45.03,SammySnipes,True,0,713082942527897650
3,fb,above,278.3,283.0,SammySnipes,True,2,713082942527897650
4,sbux,above,95.63,97.65,SammySnipes,True,4,713082942527897650
5,spce,above,22.3,22.67,SammySnipes,True,0,713082942527897650
6,cgc,above,25.0,25.9,SammySnipes,True,2,713082942527897650
7,pins,above,62.17,68.96,Engine Trades,True,2,713081687516643389
8,sfix,above,35.95,37.54,Engine Trades,True,2,713081687516643389
